what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384675772328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384675775799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675800070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675822618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675840032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675845424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675848369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675876119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675886045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675889561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384675896866
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384675903653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675906316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675906473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384675909733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384675930341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675952372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384675966684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676036715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676047113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676121714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676163937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676168366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676184701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676189058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676217829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676239302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676241861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676256101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676260279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676283102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676288236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676306452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676310201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676312142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384676320877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676401709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384676440366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384676456253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676458609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676493303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676524695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676566053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676579580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676590920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676600275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384676624226
