what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716209280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716211175
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716211251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716211349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384716215903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716217823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384716222328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384716246510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716249974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716250006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716250032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716252093
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716252143
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716256806
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716256806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716257866
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716268681
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716268682
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716271494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716274166
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716275309
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384716276863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716282026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716291162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716300054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716383692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384716384092
